Bevölkerung nach Geschlecht seit 1869 - Bezirke Wien | Population by sex since 1869 - districts of Vienna;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;POP_TOTAL;POP_MAL;POP_FEM
AT13;90100;90100;1869;18691231;68079;;
AT13;90200;90200;1869;18691231;68442;;
AT13;90300;90300;1869;18691231;88678;;
AT13;90400;90400;1869;18691231;55682;;
AT13;90500;90500;1869;18691231;54010;;
AT13;90600;90600;1869;18691231;67642;;
AT13;90700;90700;1869;18691231;80043;;
AT13;90800;90800;1869;18691231;53012;;
AT13;90900;90900;1869;18691231;65910;;
AT13;91000;91000;1869;18691231;22340;;
AT13;91100;91100;1869;18691231;12848;;
AT13;91200;91200;1869;18691231;30589;;
AT13;91300;91300;1869;18691231;9808;;
AT13;91400;91400;1869;18691231;12397;;
AT13;91500;91500;1869;18691231;64042;;
AT13;91600;91600;1869;18691231;31383;;
AT13;91700;91700;1869;18691231;34793;;
AT13;91800;91800;1869;18691231;17879;;
AT13;91900;91900;1869;18691231;17924;;
AT13;92000;92000;1869;18691231;15922;;
AT13;92100;92100;1869;18691231;12022;;
AT13;92200;92200;1869;18691231;3608;;
AT13;92300;92300;1869;18691231;13945;;
AT13;90100;90100;1880;18801231;72688;;
AT13;90200;90200;1880;18801231;100513;;
AT13;90300;90300;1880;18801231;96523;;
AT13;90400;90400;1880;18801231;58336;;
AT13;90500;90500;1880;18801231;67018;;
AT13;90600;90600;1880;18801231;64535;;
AT13;90700;90700;1880;18801231;78143;;
AT13;90800;90800;1880;18801231;50354;;
AT13;90900;90900;1880;18801231;73740;;
AT13;91000;91000;1880;18801231;54681;;
AT13;91100;91100;1880;18801231;21720;;
AT13;91200;91200;1880;18801231;47358;;
AT13;91300;91300;1880;18801231;11585;;
AT13;91400;91400;1880;18801231;20298;;
AT13;91500;91500;1880;18801231;86323;;
AT13;91600;91600;1880;18801231;63074;;
AT13;91700;91700;1880;18801231;63038;;
AT13;91800;91800;1880;18801231;43543;;
AT13;91900;91900;1880;18801231;24018;;
AT13;92000;92000;1880;18801231;17250;;
AT13;92100;92100;1880;18801231;23632;;
AT13;92200;92200;1880;18801231;6281;;
AT13;92300;92300;1880;18801231;17940;;
AT13;90100;90100;1890;18901231;70167;;
AT13;90200;90200;1890;18901231;119119;;
AT13;90300;90300;1890;18901231;117869;;
AT13;90400;90400;1890;18901231;59464;;
AT13;90500;90500;1890;18901231;84031;;
AT13;90600;90600;1890;18901231;64323;;
